Id,Url,Last crawl status,Last crawled at,Created at
19412398,https://www.medicalcountermeasures.gov/announcementsrss/,Unsupported content type 'text/xml',"Mon, 21 Dec 2020 17:48:51 +0000","Mon, 21 Dec 2020 16:27:25 +0000"
19412399,https://www.medicalcountermeasures.gov/newsroomrss/,Unsupported content type 'text/xml',"Mon, 21 Dec 2020 17:48:58 +0000","Mon, 21 Dec 2020 16:27:25 +0000"
19412403,https://www.medicalcountermeasures.gov/phemcerss/,Unsupported content type 'text/xml',"Mon, 21 Dec 2020 17:49:31 +0000","Mon, 21 Dec 2020 16:27:25 +0000"
20215648,https://www.medicalcountermeasures.gov/video-library/,Unsupported content type '',"Fri, 14 May 2021 00:18:58 +0000","Fri, 14 May 2021 00:18:55 +0000"
20215671,https://www.medicalcountermeasures.gov/blogs/,Unsupported content type '',"Fri, 14 May 2021 00:19:52 +0000","Fri, 14 May 2021 00:18:56 +0000"
19411965,https://www.medicalcountermeasures.gov/newsroom/2013/fdaapprovesnewseasonalinfluenza/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:28:32 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411967,https://www.medicalcountermeasures.gov/newsroom/2013/barda-fill-finish-manufacturing-network-synopsis-posted/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:28:52 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411969,https://www.medicalcountermeasures.gov/newsroom/2013/ffmn-solicitation-no-13-100-sol-0000/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:29:00 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411970,https://www.medicalcountermeasures.gov/newsroom/2013/hhsawardaddevelopmentnovelflu/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:29:11 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411971,https://www.medicalcountermeasures.gov/newsroom/2013/pahpa/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:29:19 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411972,https://www.medicalcountermeasures.gov/newsroom/2013/smart-dme-power-generation-rfi/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:29:29 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
19411973,https://www.medicalcountermeasures.gov/newsroom/2013/rfiagentstreatmentnewthreats/,undefined method `attributes' for nil:NilClass,"Mon, 21 Dec 2020 16:29:38 +0000","Mon, 21 Dec 2020 16:27:07 +0000"
