path,"title_en","description_en","content_en",created,changed,tags
"https://www.medicalcountermeasures.gov/barda/cbrn/smallpox/",Smallpox,"Your description","Skip to main content U.S. Department of Health & Human Services Public Health Emergency Login | Register X I WANT TO FIND Search FEATURED SEARCHES: Coronavirus BARDA Industry Day PRISM TechWatch Announcements & Media BARDA Smallpox Smallpox (Variola virus) is considered a high-priority biological threat agent. It can be spread using an aerosol spray, transmitted from person to person via close contact, and can survive in the environment up to one day, depending on ambient conditions. The fatality rate following infection is high, and there is no effective, approved treatment. Routine smallpox vaccination ended in the U.S. in 1972. Those who received the vaccination may experience a reduction in symptom severity and a decreased mortality rate, however, the infection rate and spread of disease amongst the general population is expected to be high. On September 23, 2004, the Secretary of Homeland Security determined that the smallpox virus is a material threat to the U.S. population sufficient to affect national security. Because the threat is credible and smallpox has the potential to cause significant casualties and massive disruption of political, economic, and social infrastructures in the U.S., strong efforts to reduce U.S. vulnerability to smallpox are warranted. As such, BARDA is supporting the development of both vaccines and antivirals that can protect against or treat smallpox. An effective antiviral treatment could mitigate the effects of smallpox disease. It is likely that such an antiviral may also be effective against other pox viruses. Smallpox Antivirals Program Under the Project BioShield Act (2004) (PDF - 191 KB), Pandemic and All-Hazards Preparedness Act (2006) (PDF -248 KB), and Pandemic and All-Hazards Reauthorization Act (2013) (PDF - 284 KB), BARDA’s strategy to support advanced development and procurement of critical medical countermeasures (MCMs) targets biothreats that have been determined by the Department of Homeland Security (DHS) as Material Threats. BARDA’s Smallpox Antiviral Program supports advanced development, procurement and stockpiling of variola major (smallpox) countermeasures for use in treating symptomatic smallpox. DHS issued a Material Threat Determination for smallpox in 2004, establishing it as a threat to national security. The Public Health Emergency Medical Countermeasure Enterprise (PHEMCE) BARDA has transitioned two antiviral drugs candidates—ST-246 (SIGA) and brincidofovir (Chimerix)—from NIH into advanced development and procurement under Project BioShield. ST-246 was procured under Project Bioshield in 2011 and delivered to the Strategic National Stockpile (SNS), where it remains available for use under a CDC or DoD contingency IND or under Emergency Use Authorization. Brincidofovir is being developed for the treatment of smallpox, as well as for the treatment of cytomegalovirus and adenovirus infections associated with bone marrow transplantation. In addition to oral formulations of each drug, BARDA’s Smallpox Antiviral Program is supporting the development of a liquid suspension formulation of brincidofovir and a sprinkle formulation of ST-246 for special populations, including pediatric patients and individuals who are unable to swallow pills. BARDA is working towards meeting PHEMCE requirements for two antivirals with different mechanisms of action available to mitigate emergence of potential drug resistance. The smallpox antiviral drugs, in combination with the smallpox vaccines already stockpiled, will comprise a robust armamentarium of medical countermeasures to smallpox. With continuing development and regulatory approval of new diagnostic platform technologies through support from programs like Innovations and Biothreat Diagnostics, BARDA is improving our ability to rapidly detect and treat biothreats like smallpox in the entire U.S. population. Smallpox Vaccines Program Under the Project BioShield Act (2004) (PDF - 191 KB), Pandemic and All-Hazards Preparedness Act (2006) (PDF -248 KB), and Pandemic and All-Hazards Reauthorization Act (2013) (PDF - 284 KB), BARDA’s strategy to support advanced development and procurement of critical medical countermeasures (MCMs) targets biothreats that have been determined by the Department of Homeland Security as Material Threats. BARDA’s Smallpox Vaccine Program focuses on maintaining sustainable and cost-effective vaccine stockpile capacity, with a goal of having enough smallpox vaccine for the entire Nation. This includes a vaccine for the general population and a vaccine for “at-risk”individuals (potentially contraindicated for a live replicating vaccine), complemented by antivirals with different mechanisms of action to treat individuals symptomatic with disease and by vaccinia immune globulin to treat adverse events associated with vaccination. This combination of MCMs will prepare the PHEMCE to appropriately respond to a smallpox incident. BARDA’s Smallpox Vaccines Program has supported advanced development of a third generation smallpox vaccine, IMVAMUNE® [smallpox Modified Vaccinia Ankara (MVA) vaccine], for “at-risk” individuals to augment the vaccine for the general population. BARDA’s strategic goals for this vaccine candidate have focused on late stage development in support of potential licensure of IMVAMUNE®, and procurement under Project BioShield for delivery to the Strategic National Stockpile (SNS). The current liquid frozen formulation of IMVAMUNE® is available under Emergency Use Authorization (EUA) during a declared emergency to special populations, including HIV+ persons and individuals with atopic dermatitis; to include all age ranges, pregnant women and/or nursing mothers. BARDA also is funding the advanced development of a lyophilized formulation of IMVAMUNE® that may have a significantly longer shelf life and easier cold chain logistics for storage and administration compared to its liquid frozen counterpart. Positive outcomes of the lyophilized formulation may include a reduction in total lifecycle management costs and a more sustainable stockpile of smallpox vaccine for immunocompromised individuals. The stockpiling and continued development of IMVAMUNE® ensures that the U.S. Government has a robust capability to vaccinate a diverse population during a smallpox emergency. In combination with BARDA’s antiviral development efforts, the Smallpox Vaccine Program has strengthened the current MCM armamentaria necessary to respond to a smallpox event. Industry partners are encouraged to visit the BARDA Broad Agency Announcement and sign up for a BARDA TechWatch meeting. Website Refresh - www.medicalcountermeasures.gov is pleased to announce a phased launch of our newly redesigned public website. We are making website improvements to provide a more modern and customer-centric web experience. Over the next several months you will see differences throughout the site while we continue implementing updates. Thank you for your understanding and please let us know if you have any questions: techwatchinbox@hhs.gov",,"May 24th 2021, 10:40:04.000","[""medicalcountermeasures"",""hhs"",""""]"
"https://www.medicalcountermeasures.gov/blogs/sepsis-solutions-help-covid-patients/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:59:07.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/video-library/beyondlab/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:58:26.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/blogs/better-preparing/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:59:07.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/blogs/new-frontiers-and-extreme-environments/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:59:07.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/blogs/1918-to-2018/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:59:07.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/video-library/cbrndirectorbid2020/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"May 13th 2021, 18:58:26.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/newsroom/2021/ncats/","BARDA partners with NCATS to seek submissions for the development of advanced microphysiological immune tissue platforms through its new DRIVe ImmuneChip+ program","BARDA's Division of Research, Innovation, and Ventures (DRIVe) opened a new area of interest (AOI) under the EZ Broad Agency Announcement (EZ-BAA) solicitation, in partnership with the National Center for Advancing Translational Sciences (NCATS), part of the National Institutes of Health, for the development of advanced microphysiological systems (MPS) that can replicate components of vital human tissues and immune system functions and monitor their interactions.","U.S. Department of Health & Human Services Public Health Emergency Login | Register X I WANT TO FIND Search FEATURED SEARCHES: Coronavirus BARDA Industry Day PRISM TechWatch Announcements & Media BARDA BARDA partners with NCATS to seek submissions for the development of advanced microphysiological immune tissue platforms through its new DRIVe ImmuneChip+ program WEB ANNOUNCEMENT Share BARDA's Division of Research, Innovation, and Ventures (DRIVe) opened a new area of interest (AOI) under the EZ Broad Agency Announcement (EZ-BAA) solicitation, in partnership with the National Center for Advancing Translational Sciences (NCATS), part of the National Institutes of Health, for the development of advanced microphysiological systems (MPS) that can replicate components of vital human tissues and immune system functions and monitor their interactions. MPS, also called tissue chips, are 3D biophysical platforms comprised of cellular constructs that mimic the structure and function of vital human tissues and organs, such as the lungs, liver, and heart. Accurately modeling human systems in vitro to test treatment effectiveness is a key step to accelerating the pace of drug discovery and development. However, predicting and testing the effects of therapeutics during early clinical studies is difficult, costly, time-consuming, and can fail to anticipate side effects in people. To safely and quickly evaluate a drug’s effectiveness and toxicity, researchers could utilize MPS in the early stages of studies. MPS may serve as a predictive tool in the drug development process, aid the screening of signaling molecules and drug targets, and help develop precision medicine-based therapies. Experts at BARDA expect that the use of advanced MPS will create new opportunities for understanding mechanisms of health and disease, and enable more efficient assessment of promising potential biomedical interventions. Recent rapid advances in this field now make the prospect of MPS commercialization and broad usability more realistic. Key challenges remain, however, including difficulty of manufacturing, integration and use of medically-relevant sensors, and the combination of multiple tissues anchored by the immune system to model the human body’s response. Under this EZ-BAA AOI, BARDA is seeking applicants with product ideas that focus on enhancing existing, fully-mature MPS that incorporate a human immune system component. These 3D platforms should include in-line sensors for continuous tissue monitoring, and utilize materials suitable for automated manufacturing and assembly of the platforms. Full proposals may be submitted until June 30, 2021. For more details, check out the Special Instructions 013, AOI #7 (PDF - 205KB) of the EZ-BAA (BAA-20-100-SOL-0002). The EZ-BAA was created to provide a streamlined process through which BARDA's Division of Research, Innovation, and Ventures (DRIVe) can review and accept applications for development funding of transformative products and technologies to protect Americans from health security threats. The application process is both business-friendly and easy to follow. About HHS, ASPR, and BARDA: HHS works to enhance and protect the health and well-being of all Americans, providing for effective health and human services and fostering advances in medicine, public health, and social services. The mission of ASPR is to save lives and protect Americans from 21st-century health security threats. Within ASPR, BARDA invests in the advanced research and development, acquisition, and manufacturing of medical countermeasures – vaccines, drugs, therapeutics, diagnostic tools, and non-pharmaceutical products needed to combat health security threats. To date, 59 BARDA-supported products have achieved regulatory approval, licensure, or clearance. BARDA DRIVe brings together the best ideas from the medical and scientific communities, together with government and venture capital investment, to drive innovation that will strengthen our nation's health security. About NCATS: NCATS conducts and supports research on the science and operation of translation — the process by which interventions to improve health are developed and implemented — to allow more treatments to get to more patients more quickly. For more information about how NCATS helps shorten the journey from scientific observation to clinical intervention, visit https://ncats.nih.gov. Share Last Updated: March 15, 2021 Share this article now! Stay Connected Be the first to know about BARDA news and new awards. Sign-up for our email announcements: Follow Us Website Refresh - www.medicalcountermeasures.gov is pleased to announce a phased launch of our newly redesigned public website. We are making website improvements to provide a more modern and customer-centric web experience. Over the next several months you will see differences throughout the site while we continue implementing updates. Thank you for your understanding and please let us know if you have any questions: techwatchinbox@hhs.gov",,"March 15th 2021, 10:31:07.000",
"https://www.medicalcountermeasures.gov/barda/research/lessons-learned-from-zaire-ebolavirus-to-help-address-urgent-needs-for-vaccines-against-sudan-ebolavirus-and-marburg-virus/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"April 5th 2021, 10:37:51.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/barda/research/development-of-a-clinical-assay-to-measure-chlorinated-tyrosine/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"April 5th 2021, 10:37:51.000","[""your keywords""]"
"https://www.medicalcountermeasures.gov/barda/research/current-state-of-anthrax-vaccines-and-key-rd-gaps-moving-forward/","MedicalCountermeaures.gov - Home","Your description","Skip to main content Public Health Emergency U.S. Department of Health & Human Services Medical Countermeasures Search Submit Home Oops Oops! We apologize, but an error occurred and your request could not be completed. This error has been logged. If you have additional information regarding what may have caused this error, please contact us. Back to home page",,"April 5th 2021, 10:37:51.000","[""your keywords""]"
